Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Tue, Sep 1, 2020",5:30p,Boston Celtics,102,Toronto Raptors,99
"Tue, Sep 1, 2020",8:30p,Utah Jazz,78,Denver Nuggets,80
"Wed, Sep 2, 2020",6:30p,Miami Heat,116,Milwaukee Bucks,114
"Wed, Sep 2, 2020",9:00p,Oklahoma City Thunder,102,Houston Rockets,104
"Thu, Sep 3, 2020",6:30p,Toronto Raptors,104,Boston Celtics,103
"Thu, Sep 3, 2020",9:00p,Denver Nuggets,97,Los Angeles Clippers,120
"Fri, Sep 4, 2020",6:30p,Milwaukee Bucks,100,Miami Heat,115
"Fri, Sep 4, 2020",9:00p,Houston Rockets,112,Los Angeles Lakers,97
"Sat, Sep 5, 2020",6:30p,Toronto Raptors,100,Boston Celtics,93
"Sat, Sep 5, 2020",9:00p,Denver Nuggets,110,Los Angeles Clippers,101
"Sun, Sep 6, 2020",3:30p,Milwaukee Bucks,118,Miami Heat,115
"Sun, Sep 6, 2020",8:30p,Houston Rockets,109,Los Angeles Lakers,117
"Mon, Sep 7, 2020",6:30p,Boston Celtics,111,Toronto Raptors,89
"Mon, Sep 7, 2020",9:00p,Los Angeles Clippers,113,Denver Nuggets,107
"Tue, Sep 8, 2020",6:30p,Miami Heat,103,Milwaukee Bucks,94
"Tue, Sep 8, 2020",9:00p,Los Angeles Lakers,112,Houston Rockets,102
"Wed, Sep 9, 2020",6:30p,Toronto Raptors,125,Boston Celtics,122
"Wed, Sep 9, 2020",9:00p,Los Angeles Clippers,96,Denver Nuggets,85
"Thu, Sep 10, 2020",7:00p,Los Angeles Lakers,110,Houston Rockets,100
"Fri, Sep 11, 2020",6:30p,Denver Nuggets,111,Los Angeles Clippers,105
"Fri, Sep 11, 2020",9:00p,Boston Celtics,92,Toronto Raptors,87
"Sat, Sep 12, 2020",8:00p,Houston Rockets,96,Los Angeles Lakers,119
"Sun, Sep 13, 2020",1:00p,Los Angeles Clippers,98,Denver Nuggets,111
"Tue, Sep 15, 2020",6:30p,Miami Heat,117,Boston Celtics,114
"Tue, Sep 15, 2020",9:00p,Denver Nuggets,104,Los Angeles Clippers,89
"Thu, Sep 17, 2020",7:00p,Miami Heat,106,Boston Celtics,101
"Fri, Sep 18, 2020",9:00p,Denver Nuggets,114,Los Angeles Lakers,126
"Sat, Sep 19, 2020",8:30p,Boston Celtics,117,Miami Heat,106
"Sun, Sep 20, 2020",7:30p,Denver Nuggets,103,Los Angeles Lakers,105
"Tue, Sep 22, 2020",9:00p,Los Angeles Lakers,106,Denver Nuggets,114
"Wed, Sep 23, 2020",8:30p,Boston Celtics,109,Miami Heat,112
"Thu, Sep 24, 2020",9:00p,Los Angeles Lakers,114,Denver Nuggets,108
"Fri, Sep 25, 2020",8:30p,Miami Heat,108,Boston Celtics,121
"Sat, Sep 26, 2020",9:00p,Denver Nuggets,107,Los Angeles Lakers,117
"Sun, Sep 27, 2020",7:30p,Boston Celtics,113,Miami Heat,125
"Wed, Sep 30, 2020",9:00p,Miami Heat,98,Los Angeles Lakers,116
